,sessionid,mouseid,mouseid_full,depth,sess_n,within_sess_n,overall_sess_n,pass_fail,all_files,any_files,n_rois,date,layer,line,notes
0,723322122,1,392960,175,1,1,1,P,1,1,29,unk,soma,L23-Cux2,
1,721975393,1,392960,175,2,1,2,P,1,1,35,unk,soma,L23-Cux2,
2,721032982,1,392960,175,3,1,3,P,1,1,37,unk,soma,L23-Cux2,
3,720115420,1,392960,75,4,1,4,F,0,1,unk,unk,dend,L23-Cux2,
4,720520553,1,392960,75,4,2,5,P,1,1,19,unk,dend,L23-Cux2,
5,718921993,1,392960,175,5,1,6,F,0,1,unk,unk,soma,L23-Cux2,
6,720519615,1,392960,175,5,2,7,P,1,1,31,unk,soma,L23-Cux2,
7,721038464,1,392960,75,6,1,8,P,1,1,unk,unk,dend,L23-Cux2,alignment fails
8,722126561,1,392960,75,7,1,9,P,1,1,36,unk,dend,L23-Cux2,
9,723323411,1,392960,75,8,1,10,P,1,1,17,unk,dend,L23-Cux2,
10,716711420,2,389778,20,1,1,1,P,1,1,241,unk,dend,L5-Rbp4,
11,717030161,2,389778,375,2,1,2,P,1,1,60,unk,soma,L5-Rbp4,
12,712483302,2,389778,20,3,1,3,F,1,1,259,unk,dend,L5-Rbp4,
13,714893802,2,389778,20,3,2,4,F,0,0,unk,unk,dend,L5-Rbp4,
14,715244457,2,389778,20,3,3,5,P,1,1,504,unk,dend,L5-Rbp4,
15,712942208,2,389778,375,4,1,6,F,1,1,78,unk,soma,L5-Rbp4,
16,716425232,2,389778,375,4,2,7,P,1,1,79,unk,soma,L5-Rbp4,
17,727680211,3,396998,175,1,1,1,P,1,1,32,unk,soma,L23-Cux2,
18,725009252,3,396998,175,2,1,2,P,1,1,45,unk,soma,L23-Cux2,
19,724421207,3,396998,175,3,1,3,P,1,1,50,unk,soma,L23-Cux2,
20,724422062,3,396998,75,4,1,4,P,1,1,12,unk,dend,L23-Cux2,
21,725010342,3,396998,75,5,1,5,P,1,1,15,unk,dend,L23-Cux2,
22,726844248,3,396998,75,6,1,6,P,1,1,12,unk,dend,L23-Cux2,
23,726837871,3,396998,175,7,1,7,P,1,1,40,unk,soma,L23-Cux2,
24,727683236,3,396998,75,8,1,8,P,1,1,8,unk,dend,L23-Cux2,
25,719034388,4,389886,375,1,1,1,P,1,1,254,unk,soma,L5-Rbp4,
26,715576465,4,389886,20,2,1,2,F,0,1,unk,unk,dend,L5-Rbp4,
27,718138179,4,389886,20,2,2,3,F,0,1,unk,unk,dend,L5-Rbp4,
28,718742560,4,389886,20,2,3,4,P,1,1,289,unk,dend,L5-Rbp4,
29,717071321,4,389886,375,3,1,5,F,0,1,unk,unk,soma,L5-Rbp4,
30,718579351,4,389886,375,3,2,6,P,1,1,163,unk,soma,L5-Rbp4,
31,720247732,4,389886,20,4,1,7,F,0,1,unk,unk,dend,L5-Rbp4,
32,722188453,4,389886,20,4,2,8,P,1,1,266,unk,dend,L5-Rbp4,
